title,artist,link
Untitled - Abstract Collage (1969),Leslie McConnell,art/record/99408?highlight=*:*
Bar at 1732 St Charles (02 AUG 1973),Jonathan Woodham,art/record/21433?highlight=*:*
Untitled (1965),Gregor Smith,art/record/22009?highlight=*:*
Portrait of a Woman (1969),Lynn Bushell,art/record/21093?highlight=*:*
Portrait of a Boy Seated (17 MAR 1955),Norma Macgregor,art/record/21220?highlight=*:*
Seated Female Nude (Circa 1964),Alexander Moffat,art/record/21337?highlight=*:*
Standing Male Nude (1958),Peter Standen,art/record/20863?highlight=*:*
Wall hanging,Winsome Douglass,art/record/113837?highlight=*:*
Untitled - Man at a Factory (1966-1967),Gregor Smith,art/record/99397?highlight=*:*
Abstract Composition in Grey with Circle (1989),Linda A. Henniker,art/record/22709?highlight=*:*
Portrait of a Seated Woman (1950),Alexander F Mitchell,art/record/21053?highlight=*:*
Two Views of a Man Seated (1959),Grace Nichol,art/record/21120?highlight=*:*
Reclining Female Nude (1955),Fiona C MacCormick,art/record/21014?highlight=*:*
Drawing of a Man's Head (1955),James Robertson,art/record/20804?highlight=*:*
Taking the Veil (1987),Elspeth Lamb,art/record/21924?highlight=*:*
Untitled (2003),Andrea Bain,art/record/99928?highlight=*:*
Side Plate,Emma Gillies,art/record/53613?highlight=*:*
Unknown (1953-1954),Peter G. Collins,art/record/50540?highlight=*:*
Abstract (1966-1971),John F. Mooney,art/record/123507?highlight=*:*
Unnamed (2002),Ky Ober,art/record/99950?highlight=*:*
Espresso Saucer,Emma Gillies,art/record/53682?highlight=*:*
Unknown,Derek McGuire,art/record/50431?highlight=*:*
Untitled (2002),Elaine Bay,art/record/99948?highlight=*:*
Saucer,Emma Gillies,art/record/53662?highlight=*:*
Composition in Grey and Pink (1978),Eve F. Thomson,art/record/122770?highlight=*:*
Minotaur,Paul Duffus,art/record/122800?highlight=*:*
Unknown (1946),Marjorie Wallace,art/record/50440?highlight=*:*
Untitled - Horses and Riders (1963),Jean M. Marshall,art/record/99363?highlight=*:*
Two Boxes on Pink (Circa 1968),Maureen Marshall,art/record/22563?highlight=*:*
Untitled (Unknown),Unknown,art/record/21713?highlight=*:*
Sea Shore (Unknown),Richard Florsheim,art/record/21662?highlight=*:*
Unknown (1950),Unknown,art/record/53507?highlight=*:*
Unknown (1957),Peter G. Collins,art/record/50399?highlight=*:*
Oranges (2018),Jessica Gasson,art/record/102753?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,art/record/20676?highlight=*:*
Allegro Moderato Firemans' Parade (1977),"Eduardo Luigi Paolozzi KBE, RA",art/record/21697?highlight=*:*
Reclining Seated Male Nude (1958),Peter Standen,art/record/20866?highlight=*:*
Free Fall (1985),Robert Adam,art/record/21593?highlight=*:*
Untitled (Unknown),Renny Tait,art/record/21723?highlight=*:*
Untitled (1968),Michael Jannarelli,art/record/22498?highlight=*:*
Unknown,Alan J McLeod,art/record/53604?highlight=*:*
15th Century Italian (Feb 1982),Carol Binnie,art/record/21976?highlight=*:*
Male Portrait (1959),Peter McGinn,art/record/22686?highlight=*:*
Portrait of a Man,Anthony Sinclair,art/record/21471?highlight=*:*
November Afternoon (1982),Gwyneth M. Leech,art/record/99433?highlight=*:*
Esme (1949),Betty Elston,art/record/22694?highlight=*:*
Portrait of a Man (11 NOV 1957),R Wright,art/record/20904?highlight=*:*
"Acanthus Scrolls, Temple of Venus Genetrix, Rome",Unknown,art/record/20560?highlight=*:*
Aerial View of a Street (1965),Laura McPherson,art/record/99394?highlight=*:*
Unknown,Unknown,art/record/53503?highlight=*:*
Seated Female Nude (1994-1995),Nicholas Otter,art/record/21510?highlight=*:*
Bust of Apollo Belvedere,Unknown,art/record/20581?highlight=*:*
Unknown (1983),Stuart T. MacKenzie,art/record/53561?highlight=*:*
Unknown (1960),Dorothea Brown,art/record/50601?highlight=*:*
Jacopo Nani (2019),Brandon Logan,art/record/113742?highlight=*:*
Untitled (1967),Rosemary Seaton,art/record/22475?highlight=*:*
Landscape,Donald Clark,art/record/21490?highlight=*:*
Untitled (2002),Adrian Rodriguez,art/record/99944?highlight=*:*
Portrait of a Man in Spectacles (1958),Richard McNeill,art/record/20891?highlight=*:*
Unknown (1947),Mabel D. Lawford,art/record/50533?highlight=*:*
Untitled (Unknown),Unknown,art/record/99825?highlight=*:*
Unknown (1952),George Roderick Carmichael,art/record/50569?highlight=*:*
Portrait of a Seated Woman in Fur Coat (1965-1966),George Donald,art/record/21173?highlight=*:*
Landscape (1968),Alastair Burns,art/record/21273?highlight=*:*
Lamb (1920s),Emma Gillies,art/record/122124?highlight=*:*
Two Men Standing,Charlene Anderson,art/record/21091?highlight=*:*
Unknown,Unknown,art/record/53562?highlight=*:*
Portrait of a Man (1956),J Gorman,art/record/21181?highlight=*:*
Ecorche of Houdon,Unknown,art/record/20602?highlight=*:*
No. 75,Olivia Grehang,art/record/53482?highlight=*:*
Portrait of a Man in a Suit (Mar 1963),John Bellany,art/record/20776?highlight=*:*
Untitled (Unknown),Unknown,art/record/21569?highlight=*:*
Portrait of a Seated Woman (1960s),Sandra Miller,art/record/21278?highlight=*:*
Composition (1987),Gordon W. Boyd,art/record/22564?highlight=*:*
Elderly Man in Military Costume (1952),Frances Walker,art/record/20847?highlight=*:*
Student in the Studio,Leon Francesco Morrocco,art/record/21401?highlight=*:*
Untitled (1966),Simone Walker,art/record/22477?highlight=*:*
Saucer,Emma Gillies,art/record/53660?highlight=*:*
Abstract Composition in Pale Grey (1994),Paula McQue,art/record/123338?highlight=*:*
Unknown,Edith Duke,art/record/53525?highlight=*:*
Standing Male Nude (1958),Jacqueline A N Stieger,art/record/20786?highlight=*:*
Untitled (1962),Carl O Ekevall,art/record/99496?highlight=*:*
Tangled Leaves,Susan Alexander,art/record/50401?highlight=*:*
Blackbird on Toys,Gordon Mitchell,art/record/22560?highlight=*:*
Sedilia from Lincluden Collegiate Church (1912),Joseph Cavagnari,art/record/20568?highlight=*:*
Portrait of a Man (1980s),Kirsty E. Raitt,art/record/21439?highlight=*:*
Standing Male Nude (1959),Grace Nichol,art/record/20956?highlight=*:*
Man in Spanish Costume (1955),Alexander S Campbell,art/record/21317?highlight=*:*
Portrait of Woman in White Blouse (1962),Elizabeth G. Kellar,art/record/22714?highlight=*:*
Untitled (Unknown),Unknown,art/record/21565?highlight=*:*
Fragments (1969),Ian G. Robertson,art/record/122734?highlight=*:*
Horse and Cart (1956),Moira E. Brown,art/record/22712?highlight=*:*
Unitled (Unknown),S J Dooley,art/record/99909?highlight=*:*
Reclining Female Nude (1952),John Houston,art/record/21352?highlight=*:*
Reclining Nude Woman (1962),Norma M. Kirk,art/record/122692?highlight=*:*
Teacup,Emma Gillies,art/record/53639?highlight=*:*
For Mayte Carrasco (Unknown),Elspeth Lamb,art/record/21887?highlight=*:*
River Thames,Unknown,art/record/122785?highlight=*:*
Landscape (possibly),John Brown,art/record/21428?highlight=*:*
Untitled (Unknown),Unknown,art/record/21881?highlight=*:*
Unknown (1957),Lawrence F. Baxter,art/record/50617?highlight=*:*
Still Life with Decanter (1962),Kathleen B. Russell,art/record/122780?highlight=*:*
Portrait of Josephine Baker (1997),"Eduardo Luigi Paolozzi KBE, RA",art/record/50366?highlight=*:*
Unknown (MAY 1963),Gregor Smith,art/record/53501?highlight=*:*
Small brown female figure with long wavy hair,NA,art/record/20547?highlight=*:*
Untitled,Roy M. W. Cameron,art/record/112348?highlight=*:*
Untitled,Unknown,art/record/102671?highlight=*:*
Untitled,Sara Gough,art/record/112504?highlight=*:*
Portrait of a Boy (1950),Cecile E. M. Johnstone,art/record/22667?highlight=*:*
Embroidered panel,Winsome Douglass,art/record/113832?highlight=*:*
Balmacarra,Sir William George Gillies,art/record/47435?highlight=*:*
Reclining Female Nude (1961),Gwendolene H. MacKenzie,art/record/22718?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,art/record/20699?highlight=*:*
Passing Barges (1963),Geoffrey J Roper,art/record/99369?highlight=*:*
Wall hanging (1939),Unknown,art/record/100009?highlight=*:*
"Architrave and lintel from Collegiate Church of St Gertrude, Nivelles, Belgium (Anglo-Saxon)",Unknown,art/record/20552?highlight=*:*
Untitled (2007),Frea Buckler,art/record/99967?highlight=*:*
Winter Seascape,Kathleen Russell,art/record/122892?highlight=*:*
Blindfolded Woman at Arch,David C Duke,art/record/22551?highlight=*:*
"Untitled - Abstract Orange, Blue, and Brown Shapes (1963)",Anthony J Valentine,art/record/99442?highlight=*:*
Untitled (1962),Crosier,art/record/22494?highlight=*:*
Untitled - Drawing of Harbour (1967),Isobel T Johnstone,art/record/99255?highlight=*:*
Portrait of a Man in a Cap (1960),Irene Ellis,art/record/20982?highlight=*:*
Portrait of a Man (Circa 1963),Ruth M. L. Walker,art/record/122756?highlight=*:*
Reclining Female Nude (JAN 1958),Walter Miller,art/record/20906?highlight=*:*
Portrait of a Woman (1956),Joan Rogers,art/record/21187?highlight=*:*
Unknown (1964),McKinnell,art/record/50478?highlight=*:*
Espresso Cup,Emma Gillies,art/record/53699?highlight=*:*
Portrait of Woman in a Hat (1958),Alan Alexander,art/record/21165?highlight=*:*
Untitled (2002),Kirsty MacDonald,art/record/99929?highlight=*:*
Unknown,Alan M. Alexander,art/record/50598?highlight=*:*
Plate,Emma Gillies,art/record/53728?highlight=*:*
Portrait of a Woman (1959),Unknown,art/record/20974?highlight=*:*
